category,problem_statement,severity_signal,original_quote,chunk_id,start_time,end_time
Workflow Efficiency,The workaround for cleaning Hebrew URLs (manually typing 'h' and then pasting the rest) is cumbersome and time-consuming.,Medium,וואלה זה עבודה קצת חחחח,57,"12/18/24, 13:40","12/19/24, 10:36"
Mobile Usability,Primarily working from a mobile phone limits the applicability of desktop-based solutions for URL management.,Low,אני עובד בעיקר מהטלפון,57,"12/18/24, 13:40","12/19/24, 10:36"
Customer Service / Sales,"Needs a comprehensive solution to improve sales processes and customer service via WhatsApp, requiring integration with their website and Priority CRM.",High,יש למישהו פתרון לשיפור תהליכי מכירה ושיפור השירות באמצעות וואצאפ? אני צריכה מערכת כזאת שתתחבר גם לאתר שלי וגם למערכת CRM (אני עובדת עם פריוריטי),57,"12/18/24, 13:40","12/19/24, 10:36"
Legal / Business Operations,"Seeking advice on product liability insurance for cosmetics, including whether it's mandatory and recommendations for insurance providers.",Medium,אשמח להתייעץ לגבי ביטוח חבות מוצר בתחום הקוסמטיקה. האם יודעים אם אכן חייבים לעשות? ואם כן אשמח להמלצות לסוכן/חברות ביטוח שעושים זאת,57,"12/18/24, 13:40","12/19/24, 10:36"
Data Integration,"Difficulty in automating data transfer from a sales system (Cash Cow) to Google Sheets, requiring either Zapier expertise or a custom application.",Medium,אפליקציה לא מסובכת שמעבירה נתונים ממכירות מקאש קאו לגוגל שיט,82,"1/26/25, 19:30","1/27/25, 15:05"
Customer Loyalty,Uncertainty regarding the requirement to provide advance notice to customers when discontinuing a free loyalty program.,Low,אם אני רוצה להסיר את המועדון יש לי חובת הודעה מוקדמת ללקוחות?,82,"1/26/25, 19:30","1/27/25, 15:05"
Marketing ROI,"The current customer loyalty program is expensive (400+ monthly per POS/site) and does not demonstrate a clear return on investment, as it primarily involves giving discounts without significantly increasing purchase baskets or customer retention.",High,אני כרגע משלמת 400+ חודשי לכל קופה/אתר... לא רואה שזה מצדיק את העלות החודשית אני רק נותנת הטבות כל הזמן ולא בהכרח רואה שזה מגדיל סלי קניות או גורם לחזור לקנות,82,"1/26/25, 19:30","1/27/25, 15:05"
Communication Tools,"International SMS/WhatsApp communication services are significantly more expensive than local alternatives, leading to higher operational costs.",Medium,"למה רק חברות מחו""ל? זה משמעותית יקר יותר",82,"1/26/25, 19:30","1/27/25, 15:05"
Information Reliability,Links provided for recommended service providers are broken or non-functional.,Low,חלק מהלינקים לא עובדים...,82,"1/26/25, 19:30","1/27/25, 15:05"
Digital Marketing,"Facebook Pixel and conversion tracking are being blocked for users due to a recent Facebook update, impacting marketing effectiveness and data collection.",High,לעוד מישהו נחסם הפיקסל והמרות בעקבות העדכון החדש בפייסבוק?,82,"1/26/25, 19:30","1/27/25, 15:05"
Product Design,"Difficulty finding a suitable website, AI tool, or software to generate realistic mockups or visualizations for clothing items (e.g., coats) on models for fashion products.",Medium,אני מחפשת אתר/ Ai / תוכנה בתשלום שיכולה לייצר הדמיות עבור מעילים / פרטי לבוש.,82,"1/26/25, 19:30","1/27/25, 15:05"
Product Photography/Visuals,Difficulty finding a suitable AI/software tool for generating clothing mockups on models.,Medium,אני מחפשת אתר/ Ai / תוכנה בתשלום שיכולה לייצר הדמיות עבור מעילים / פרטי לבוש... האם יש משהו בסגנון עבור אופנה?,83,"1/27/25, 13:33","1/29/25, 15:15"
Marketing,Need for recommendations for a reliable influencer marketing agency.,Low,אשמח לסוכנות משפיענים מומלץ,83,"1/27/25, 13:33","1/29/25, 15:15"
Shopify Features,"Shopify's default gift card system lacks unique identifiers, enabling double usage, requiring a third-party app solution.",High,תוסף גיפט קארד לשופיפיי עם מונה או מספר יחודי לכל כרטיס ? ברירת המחדל היא ללא וזה מאפשר שימוש כפול,83,"1/27/25, 13:33","1/29/25, 15:15"
Legal Compliance,"Uncertainty and conflict regarding legal obligations for refunding shipping costs to customers during transaction cancellations, especially after shipment.",High,לקוחה מבצעת ביטול עסקה... לגביי משלוח - למיטב ידעתי וגם כך מצוין אצלנו בתקנון - אני לא מחוייבת לבצע החזר... לקוחה שלחה לנו צילום מסך על פיו אנחנו מחוייבים.. מכירים את זה?,83,"1/27/25, 13:33","1/29/25, 15:15"
Legal Compliance,The existing law regarding refunding shipping costs for cancelled orders is considered unfair and problematic for businesses.,High,"כן, הלקוחה צודקת לפי החוק. אכן חוק עקום, אבל זה החוק.",83,"1/27/25, 13:33","1/29/25, 15:15"
Business Risk,"The current legal framework for transaction cancellations poses a significant financial risk, potentially allowing malicious exploitation that could ruin a business.",High,תיאורטית בתרגיל מחשבתי קרימינלי ניתן לרושש עסק בחסות החוק על ידי ביטולי עסקה..,83,"1/27/25, 13:33","1/29/25, 15:15"
Marketing,Need for recommendations for a reliable affiliate marketing plugin.,Low,יש תוסף מומלץ של שיווק שותפים?,83,"1/27/25, 13:33","1/29/25, 15:15"
Shopify Features,Difficulty tracking customers who opt for in-store pickup orders within Shopify.,Medium,מישהו שעובד עם שופיפיי ומכיר פתרון למעקב אחרי לקוחות שמזמינים איסוף עצמי בחנות הפיזית?,83,"1/27/25, 13:33","1/29/25, 15:15"
WordPress Features,Need for a WordPress plugin that allows customers to select a free gift from a list during a purchase.,Medium,"יש תוסף לוורדפרס שלקוח קונה מוצר אני מעוניין לתת לו מתנה ממגוון המוצרים שיש לי באתר , אבל שתהיה לו אפשרות בחירה איזה מהמתנות הוא רוצה לקבל ? כמו dropdown list ?",83,"1/27/25, 13:33","1/29/25, 15:15"
Marketing Tools,Need for recommendations for a multi-channel social media management software with AI capabilities.,Low,איזה תוכנה מומלצת יש לניהול סושייל רב ערוצי כולל AI פיסבוק אינסטגרם לינקדין טיק טוק?,83,"1/27/25, 13:33","1/29/25, 15:15"
Google Merchant Center,"Products frequently fail to display on Google Merchant Center due to its complex and strict requirements for product data, including titles, tags, spelling, image variations, and pricing.",High,"הסיבה לכך שמוצרים לא מוצגים במרצ'נט היא שיש לגוגל מרצ'נט דרישות כמו אורך כותרות במשקל מתאים , הוספת תגיות, בדיקת איות שגיאות כתיב לתיאור המוצר ותיקונו, תמונות של וריאציות מוצר לא מעודכנות... זו תקלה ידועה",83,"1/27/25, 13:33","1/29/25, 15:15"
WordPress Features,Need for a WordPress plugin that allows customers to personalize product designs with custom branding.,Low,אשמח להמלצה לפלאג לעיצוב אישי של מוצרים במיתוג אישי. בפלטפורמת וורדפרס,83,"1/27/25, 13:33","1/29/25, 15:15"
Payments,"PayMe (Bimi) has limited compatibility with payment providers, restricting merchant choices.",Medium,"ביימי, הם לא עובדים עם כל ספק תשלום",83,"1/27/25, 13:33","1/29/25, 15:15"
Shopify Features,"Users of standard Shopify stores struggle to implement 'buy X for Y price' promotions, as existing quantity discounts are percentage-based, and a fixed price for quantity is not readily available.",Medium,"אבל אני לא מוצא אפליקציה שאפשרי לבצע קנה כמות במחיר FIX . לדוגמא קנה 2 ב 50 ש""ח קנה 4 ב80 ש""ח האתר לא שופיפי פלוס",85,"1/31/25, 17:35","2/4/25, 09:48"
Shopify Features,Standard Shopify stores (non-Plus) are unable to implement post-purchase upsell functionalities.,Medium,לצערי לא בגלל ששופיפיי לא מאפשרת את זה ללא plus..,85,"1/31/25, 17:35","2/4/25, 09:48"
Social Media Marketing,"TikTok's business verification process is problematic, preventing users from adding website links to their profiles even after submitting all required documents, which negatively impacts organic ad conversions.",High,"עדיין לא אישרו לי את העסק באופן רשמי ואין ביכולתנו לשים קישור לאתר בפרופיל, רצות כרגע פרסומות אורגניות וזה פוגע בהמרות",85,"1/31/25, 17:35","2/4/25, 09:48"
Social Media Platform Usability,"Users experience inconsistent functionality or limitations when trying to perform certain actions (e.g., adding links) on social media platforms like TikTok, depending on whether they use a mobile device or a desktop browser.",Medium,תנסה מהנייד ויתן לך. מדפדפן לא נותן,85,"1/31/25, 17:35","2/4/25, 09:48"
Business Tools,"Small business owners struggle to find a single, integrated platform that can handle website creation, service booking with calendar management, automated reminders/email marketing, and various payment processing options (credit card, Bit, Paybox).",Medium,"אני מחפש משהו שבו אוכל: לבנות אתר משלי... לקבל הזמנות של שירותים... לשלוח תזכורות ודיוורים מכל סוג לחייב באשראי , ביט פייבוקס",85,"1/31/25, 17:35","2/4/25, 09:48"
Marketing,"Users need an application that allows them to easily place their products (e.g., pillows, maps) onto existing photos or backgrounds for marketing and visualization purposes.",Low,מחפשת אפליקציה עם צילומים או רקעים שעליהם אפשר לשתול מוצרים,85,"1/31/25, 17:35","2/4/25, 09:48"
Website Development,"Building a comprehensive business website or system is complex and often requires professional expertise, making DIY attempts challenging and potentially inefficient for business owners.",Medium,בחיאת אל תבנה לבד,85,"1/31/25, 17:35","2/4/25, 09:48"
Customer Service,"Businesses face legal and accessibility risks, including potential lawsuits, when using music on hold in their phone systems, particularly concerning deaf individuals.",High,אסור להשמיע מוסיקה בהמתנה בטלפון- זה מעצבן את החרשים - או משמח את החרשים שאוהבים לתבוע.,85,"1/31/25, 17:35","2/4/25, 09:48"
Ad Platform Bugs,"Meta (Facebook/Instagram) ad campaigns are unexpectedly running in incorrect languages (e.g., Russian) despite the user not setting Russian creative, possibly due to AI-driven text improvements, leading to misdirected ads.",High,פתאום אני רואה את הקמפיין שלי רץ בשפה רוסית ולא שמתי קריאייטיב ברוסית,85,"1/31/25, 17:35","2/4/25, 09:48"
Tool Support,Users experience technical issues with Yotpo and struggle to get help from their support team.,High,יש לי כמה בעיות טכניות וממש מתקשה לקבל עזרה מהתמיכה שלהם,86,"2/3/25, 20:20","2/5/25, 10:19"
Logistics,Difficulty reaching senior contacts at Katz Deliveries logistics company.,Medium,למישהו יש מספר של מישהו בכיר בכץ משלוחים?,86,"2/3/25, 20:20","2/5/25, 10:19"
Product Information,"Customers frequently call to inquire about product composition (e.g., number of tiles) even when the information is already provided in the product description, indicating a lack of clarity or discoverability.",Medium,"ככה קיים כרגע באתר ומתקשר עם אלי לשאול מכמה אריחים זה מורכב , למרות שכתוב בפירוט",86,"2/3/25, 20:20","2/5/25, 10:19"
Website Usability,"The website's product presentation, especially with different layout options shown in images, is confusing for customers, leading them to contact support to understand how many components (e.g., tiles) they need.",Medium,האמת שבאתר זה באמת מבלבל... לדוגמא אני רוצה למיטה רוחב 180 סמ - יש לך שם תמונות שונות שמראות אפשרויות פריסה שונות.. אז באמת סביר להניח שהייתי יוצרת קשר להבין כמה אריחים אני צריכה..,86,"2/3/25, 20:20","2/5/25, 10:19"
Shopify Technical Integration,Difficulty integrating the new Shopify checkout with an Israeli government address autocomplete service (gov.il) instead of Google Maps.,Medium,מישהו חיבר את הצ'קאאוט החדש להשלמה אוטומטית של כתובות ל- gov IL ולא לגוגל maps?,86,"2/3/25, 20:20","2/5/25, 10:19"
Shopify Returns & Exchanges,"Users are looking for an effective solution to manage product exchanges and returns on Shopify, suggesting current methods or tools are insufficient.",Medium,מישהו מכיר פתרון טוב להחלפות והחזרות בשופיפיי?,86,"2/3/25, 20:20","2/5/25, 10:19"
Order Management,"Experiencing a high rate of order cancellations shortly after purchase (within 24 hours), partial returns processed through physical stores, and delivery failures due to inability to contact customers, resulting in packages being returned to the warehouse.",High,הרבה ביטולים סמוך למועד ההזמנה בטווח של 24 שעות החזרות חלקיות דרך רשת החנויות וכשל אספקה לא ניתן היה להשיג הלקוח והחבילה חזרה למחסן,86,"2/3/25, 20:20","2/5/25, 10:19"
Shopify Platform Migration,"Users migrating from Wix to Shopify are confused about Shopify's pricing plans, which plan is suitable for their needs, and whether there are additional transaction fees charged by Shopify on top of payment gateway fees.",Medium,אבל לא הבנתי כל כך אם זה שווה מבחינת התוכניות בשופיפיי ומה מתאים לי. גם לא הבנתי אם יש אקסטרה תשלום לשופיפיי על כל הזמנה בנוסף לחברת סליקה שאני מחברת לאתר?,86,"2/3/25, 20:20","2/5/25, 10:19"
Legal,"Users are concerned about potential legal repercussions (e.g., lawsuits) after sending a newsletter and receiving an unusual or threatening response from a subscriber.",High,שלחתי ניוזלטר למנויים וקיבלתי תגובה דיי הזויה .. אני רוצה לבדוק עם עוד שחלילה אין שום סיבה לתביעה או מדהו בסגנון,86,"2/3/25, 20:20","2/5/25, 10:19"
Logistics Cost Management,"Users are looking for alternative logistics providers to reduce their per-delivery costs, as their current provider (HFD) is perceived as too expensive (paying 35 NIS per delivery excluding VAT).",Medium,"אני מחפש לשלם פחות פר משלוח, יש הצעות? כיום משלם 35 לא כולל מע""מ",86,"2/3/25, 20:20","2/5/25, 10:19"
Legal,"User is concerned about potential legal action after sending a newsletter and receiving a strange response, seeking legal advice.",Medium,שלחתי ניוזלטר למנויים וקיבלתי תגובה דיי הזויה .. אני רוצה לבדוק עם עוד שחלילה אין שום סיבה לתביעה או מדהו בסגנון,87,"2/5/25, 09:54","2/6/25, 10:38"
Logistics,Users are looking for more affordable shipping solutions as their current provider (HFD) is too expensive (35 NIS per shipment excluding VAT).,High,"אני מחפש לשלם פחות פר משלוח, יש הצעות? כיום משלם 35 לא כולל מע""מ",87,"2/5/25, 09:54","2/6/25, 10:38"
Operations,"User needs a solution for remotely sending print commands to a label printer, especially from a distant location (e.g., another city).",Medium,יש פתרון לשליחת פקודה ממיקום ממש רחוק 😅 נגיד מעיר אחרת,87,"2/5/25, 09:54","2/6/25, 10:38"
Email Marketing Tool,User is experiencing multiple unresolved issues with MailPoet for newsletter subscriptions.,Medium,יש לי כמה תקלות ולא מצליחה להבין למה,87,"2/5/25, 09:54","2/6/25, 10:38"
Customer Experience,"E-commerce stores, even large ones, have unacceptably long shipping times (up to 14 business days) and poor customer service (no phone support, slow email responses), which negatively impacts customer expectations and trust.",High,הזמנתי לפני שבוע וחצי הזמנה מאתר לבגדי ילדים שלא אציין את שמו שלא הגיעה עדין לאחר בדיקה במייל ראיתי שהם מציינים- שליח עד הבית (עד 14 ימי עסקים). *האמת! הלם!* בוודאות לא הייתי עושה את ההזמנה אם הייתי רואה את האינפורמציה הזו לפני.,87,"2/5/25, 09:54","2/6/25, 10:38"
Customer Service Tools,Users are looking for free FAQ bots to improve customer service efficiency.,Low,האם קיימים בוטים חינמיים של FAQ (למשל)?,87,"2/5/25, 09:54","2/6/25, 10:38"
Logistics,"Unreliable delivery services from shipping companies like Cheetah lead to significant losses, including lost sales, customer dissatisfaction, and damaged returned goods.",High,"זה מאוד בעייתי ,ולא מעט מעסיק אותנו עניין האספקה ללקוח",87,"2/5/25, 09:54","2/6/25, 10:38"
Logistics,E-commerce managers lack control over and ability to shorten shipping times once packages are handed over to the shipping company.,High,איך מקצרים זמני שילוח לאחר שהחבילה עברה לחברת השילוח?,87,"2/5/25, 09:54","2/6/25, 10:38"
Logistics,"The high cost of reliable shipping companies (like UPS) makes them unaffordable for businesses with high volume or lower profit margins, forcing them to use less reliable, cheaper options.",High,אני שולח דרך חברות רגילות כי נפח החבילות ורמת הרווחיות לא מאפשרת לי לשלוח בחברה כמו ups,87,"2/5/25, 09:54","2/6/25, 10:38"
Logistics,"Standard shipping companies (Katz, Cheetah, Orian) consistently fail to meet stated delivery times, with delays becoming critical during peak sales periods.",High,"כולם חורגים ועל בסיס קבוע , ופיקים של המכירות שם קורות התקלות היותר קטלניות",87,"2/5/25, 09:54","2/6/25, 10:38"
Logistics,"E-commerce businesses face a dilemma where high shipping costs conflict with customer expectations for free shipping, leading them to rely on mediocre shipping companies.",High,"כל נושא השילוח בארץ הוא כואב מאוד, עלויות השילוח מצד אחד מאוד יקרות, הלקוח לא רוצה לשלם על משלוח מצד שני ואנחנו נתקעים בין הפטיש לסדן עם חברות שילוח בינוניות במקרה הטוב.",87,"2/5/25, 09:54","2/6/25, 10:38"
Logistics,"Pickup points in Israel are managed unprofessionally, regardless of the price paid for the service.",High,גם הנקודות איסוף בארץ מתנהלות בצורה לא מקצועית ולא משנה כמה תשלם,87,"2/5/25, 09:54","2/6/25, 10:38"
Communication Tools,"WhatsApp lacks a live video demonstration feature within groups, which would be highly beneficial for providing real-time assistance and support.",Medium,צריכים להמציא פיצ'ר לוואטסאפ לחיבור לייב וידאו בתוך קבוצה לצורך הדגמת עזרה,87,"2/5/25, 09:54","2/6/25, 10:38"
E-commerce Operations,"Users need external help (company or freelancer) to efficiently upload large quantities of product data (content, images, SKUs) to their Konimbo e-commerce website.",Medium,"מכירים חברה או פרילנסר להעלות כמות של מוצרים לאתר? תוכן, תמונות, מקט.. (האתר בקונימבו)",87,"2/5/25, 09:54","2/6/25, 10:38"
Operations,A new user of a label printer is unsure how to configure it to include order details on the printed labels.,Low,הפירוט של ההזמנה נכנס במדבקה עצמה?,87,"2/5/25, 09:54","2/6/25, 10:38"
Payments,"Frequent payment processing failures with HYP are a significant concern, causing frustration.",High,אני תוהה לגבי HYP כי כל כמה זמן שולחים פה שיש להם תקלה בסליקה ואני הייתי משתגע אם היה לי תדירות תקלות כזו....,175,"7/1/25, 10:08","7/2/25, 19:45"
Customer Service,Difficulty getting quick answers or support for issues related to PayPal upgrades.,Medium,קיוויתי לקבל תשובה מהירה יותר,175,"7/1/25, 10:08","7/2/25, 19:45"
Shopify Management,"Managing extensive temporary product and variation changes on Shopify is a lot of work, and there's a need for an efficient way to revert these changes later.",High,"אני צריכה לעשות הרבה שינויים באתר ( להסיר זמנית מוצרים , לבטל ווריאציות , הפניות של מוצרים שיורדים מהאתר לעמוד הבית .. ) *כיוון שזה המון עבודה*",175,"7/1/25, 10:08","7/2/25, 19:45"
Shopify Management,"Preventing broken links (404 errors) for temporarily removed products that still have external links (e.g., from social media posts) is a manual and time-consuming process. Reverting variation changes is also a lot of work.",High,אני עדיין צריכה לעשות הפניה של הלינקים לעמוד הבית כדי שלא יגיעו לדף שגיאה . בהרבה מוצרים אני צריכה להסיר את הווריאציות - וכשאני ארצה להחזיר אותם בתום התקופה זו תהיה המון עבודה,175,"7/1/25, 10:08","7/2/25, 19:45"
SEO,"Existing marketing links (e.g., social media posts) for products that are temporarily removed lead to error pages, negatively impacting user experience and potentially SEO.",High,בגלל שאני מפרסמת ברשתות פוסטים עם לינקים שמובילים למוצרים הספציפיים - הלינקים עדיין מפורסמים ואני לא רוצה שיגיעו לעמוד שגיאה - אני מעדיפה שיגיעו לדגם אחר שכן קיים באתר,175,"7/1/25, 10:08","7/2/25, 19:45"
Shopify Management,Managing product redirects and changes for many products is a tedious and manual process.,Medium,אבל זה לא פותר את העבודה הסזיפית....,175,"7/1/25, 10:08","7/2/25, 19:45"
User Experience,Displaying entire categories of unavailable products creates a poor user experience.,Medium,איך הם לא מפריעים אם עמוד שלם של מוצרים - קטגוריה שלמה לא זמינה לרכישה אתה מגיע לדף שכל המוצרים לא זמינים,175,"7/1/25, 10:08","7/2/25, 19:45"
Inventory Management,"Inventory management, especially with thousands of variations, is extremely difficult and frustrating.",High,בכל מקרה שתדעי שאנחנו באותה סירה. ניהול מלאים זה השטן 😅 בטח כשיש אלפי ווריאציות,175,"7/1/25, 10:08","7/2/25, 19:45"
Customer Service,"PayPlus customer service is frequently unavailable, leading to calls being routed to voicemail/messaging service.",High,מה קורה לאחרונה עם פייפלוס ? כל שיחה כמעט מגיעה לשירות ההודעות 🤔,175,"7/1/25, 10:08","7/2/25, 19:45"
Customer Service,"PayPlus customer service is often unavailable, although they do eventually respond.",Medium,"נכון, לא זמינים לאחרונה אבל יאמר לזכותם שהם חוזרים",175,"7/1/25, 10:08","7/2/25, 19:45"
Customer Service,"The unavailability of PayPlus customer service is frustrating, especially when urgent issues arise, as the entire business accounting system depends on them.",High,חוזרים כן אבל זה מתסכל שצריך לפעמים לטפל במשהו מיידי ואין עם מי לדבר... בכל זאת כל מערכת הנהלת החשבונות של העסק תלויה בהם ומתי יחזרו. מתחיל להיות מבאס וחבל.,175,"7/1/25, 10:08","7/2/25, 19:45"
Payments,The payment processor 'Meshulam' does not support American Express.,Low,הכל חוץ מאמריקן,175,"7/1/25, 10:08","7/2/25, 19:45"
Payments,"Confusion and lack of clarity regarding the full capabilities and integrations of payment/accounting systems like Meshulam (e.g., full accounting system, PayPal integration, manual invoice issuance).",Medium,"הם ממש מערכת הנהח שמתחברת לאתר כמו פייפלוס? אצלי יש חיבור גם לפייפאל. וכמובן כל עניין הנפקת חשבוניות, גם ידנית לקמעונאים ועוד.",175,"7/1/25, 10:08","7/2/25, 19:45"
Logistics,Managing customer selection of pickup points for Super-Pharm marketplace orders is challenging.,Medium,איך התמודדתם עם משלוחי נקודת איסוף שהלקוח צריך לבחור נקודה ?,175,"7/1/25, 10:08","7/2/25, 19:45"
Logistics,Customers not responding to requests to choose a pickup point leads to issues with delivery and customer dissatisfaction.,High,אין לכם בעיות עם לקוחות שלא רוצים ללכת לנקודה שבחרתם? אנחנו שולחים להם הודעה לבחרית נקודה לפני משלוח אבל לא כולם עונים ואז יש בעיות,175,"7/1/25, 10:08","7/2/25, 19:45"
Payments,"Recent payment processing failures with PayPlus resulted in lost transactions, and users are seeking solutions or compensation.",High,האם למישהו לא עברו עסקאות בגלל התקלה בפייפלוס בשעה האחרונה? האם אפשר לעשות עם זה משהו? לדרוש פיצוי?,175,"7/1/25, 10:08","7/2/25, 19:45"
Payments,"Recurring issues with PayPlus where transactions don't properly sync with the website, even if the payment is received.",High,"היה גם לפני כמה ימים, היו לנו עסקאות שלא עברו כמו שצריך לאתר",175,"7/1/25, 10:08","7/2/25, 19:45"
Payments,"Confusion and concern over whether payments actually failed or just didn't sync, with recent instances of complete payment failure.",High,עכשיו שום תשלום לא עבר,175,"7/1/25, 10:08","7/2/25, 19:45"
Payments,PayPlus payment system experienced a complete outage for about half an hour.,High,נפל לאיזה חצי שעה באיזור 18:30,175,"7/1/25, 10:08","7/2/25, 19:45"
Logistics,"Packages frequently get lost, misplaced, or delivered to the wrong address by the shipping company, leading to financial losses (refunds/reshipments) and a feeling of helplessness for the business owner.",High,"אתה יכול לשלוח משלוח והוא נעלם , נאבד, מגיע לנקודה אחרת ואז מתחיל הבלאגן ! ... אין לי כל כך מה לעשות חוץ מלהחיר כסף או לשלוח משלוח חדש . בחודש יוני 5 משלוחים נעלמו . ... מתסכל ואני לא רואה פתרון לבעיה",177,"7/6/25, 13:54","7/8/25, 08:46"
Payments,"Israeli credit card processing companies do not support installment payments for US-issued credit cards, preventing businesses from offering flexible payment options to American customers for high-value orders.",High,"חברות כרטיסי אשראי ישראליות לא יודעות לתת אופציה לתשלומים למה שהם קוראים ""כרטיסי תייר"" אני מחפש איך לתת על סכומים גדולים תשלומים לקהל אמריקאי .",177,"7/6/25, 13:54","7/8/25, 08:46"
Payments,"Businesses operating with an Israeli PayPal account are unable to utilize PayPal Pay Later, which restricts their ability to offer flexible payment solutions to US customers.",Medium,אני חושב שחשבון ישראלי לא יכול להפעיל PayPal Pay Later,177,"7/6/25, 13:54","7/8/25, 08:46"
Business Operations,"Israeli businesses face a significant administrative burden and 'headache' when trying to access US payment solutions, often requiring them to establish a US LLC, which they prefer to avoid.",High,"לחברות LLC יש הרבה פתרונות , מחפש לחסוך את הכאב ראש הזה , להשאר עם חברה ישראלית",177,"7/6/25, 13:54","7/8/25, 08:46"
Marketing,"A Google Ads promotional credit was not automatically applied after four months, despite meeting all criteria, and there is no accessible Google support to resolve the issue.",High,"השתמשנו בהטבה של 1,500 ש""ח בחינם לפרסום בגוגל אדס. עקבנו אחרי כל השלבים. הקוד מכירה כמובן לא הוזן, עברו כבר 4 חודשים מאז. אין אף אחד בגוגל שיודע לתת לי מענה.",177,"7/6/25, 13:54","7/8/25, 08:46"
Customer Communication,"SMS notifications from shipping companies are frequently misdirected to spam folders, particularly on Android devices, leading to customers missing critical delivery updates.",Medium,האם יתכן ש SMS מחברת משלוחים נכנס לתיבת ספאם במקום לתיבה הראשית ? בעיקר באנדרואיד,177,"7/6/25, 13:54","7/8/25, 08:46"
Analytics,"There is a need for a tool or plugin within WordPress/WooCommerce that can accurately calculate and display profit margins for orders over specific time periods, as the default reports only show revenue.",Medium,האם יש תוכנה או תוסף לוורדפרס מהניסיון שלכם שעוזר לי לדעת כמה הרווחתי בהזמנות האתר לטווח זמן מסוים (שבוע / חודש) ?!,177,"7/6/25, 13:54","7/8/25, 08:46"
Analytics,The default reporting features in WooCommerce do not include profitability calculations.,Medium,אין בהם רווחיות לדעתי,177,"7/6/25, 13:54","7/8/25, 08:46"
Inventory Management,"WooCommerce does not have a native feature to input the cost of goods, which is essential for calculating profitability in reports.",Medium,אין רווחיות כי אין לך אופציה להזין את עלות המוצר,177,"7/6/25, 13:54","7/8/25, 08:46"
Logistics,The per-shipment payment model used by Shipper Global is inconvenient and annoying for users.,Low,חוץ מעניין התשלום (שזה תשלום פר משלוח וקצת מציק אבל אמור להשתנות בקרוב),177,"7/6/25, 13:54","7/8/25, 08:46"
Logistics,"The payment model for shipping services, which charges per shipment, is inconvenient and annoying.",Medium,חוץ מעניין התשלום (שזה תשלום פר משלוח וקצת מציק אבל אמור להשתנות בקרוב),178,"7/7/25, 20:44","7/8/25, 16:43"
Marketing,"Unable to verify a new Facebook Ads account because SMS verification codes are not received, and Facebook support is unhelpful, stating there's no real solution.",High,קופץ לי הודעה שאני צריך לעשות אימות חשבון ורשום שזה שולח SMS למספר שלי אבל בחיים אני לא מקבל הודעה כמו כן התמיכה שלהם מזעזעת והמוקדן אפילו אומר לי שאין באמת פתרון לזה,178,"7/7/25, 20:44","7/8/25, 16:43"
Website Management,Elementor Pro disappeared after a website update and does not reappear even after re-updating.,Medium,"מישהו נתקל בבעיה עשיתי עדכון ונעלם אלמנטור פרו, עידכנתי בחזרה ולא מופיע?",178,"7/7/25, 20:44","7/8/25, 16:43"
Marketing,"Receiving a high volume of sessions and visitors from outside the country on a Shopify store marketed domestically, which appear to be bot traffic.",Medium,"אני נתקל לאחרונה בהמון סשנים ומבקרים שהם מחוץ לארץ, נראה כמו בוטים.",178,"7/7/25, 20:44","7/8/25, 16:43"
Marketing,The 'add to cart' event (after a floating cart) is being incorrectly tagged as a 'page view' by the 'Pixel Your Site' plugin.,Medium,"מישהו נתקל בבעיה, עם pixel your site, אוונט של מעבר לעגלה אחרי העגלה הצפה, מתוייג כ page view?",178,"7/7/25, 20:44","7/8/25, 16:43"
Payments,"Isracard charges excessive and hidden fees (e.g., for transaction refunds, installment payments) and is unwilling to negotiate discounts, with invoices being unclear and difficult to understand.",High,אני סולק כרגע עם ישראכרט והם פשוט טוחנים אותי בעמלות ואין עם מי לדבר שם על הנחה… לקחו לי עמלה על זיכוי עסקאות.. ולוקחים תוספת של 0.1% על עסקאות תשלומים. ואי אפשר להבין כלום מהחשבונית.. עד שלא התחברתי להתאמות אשראי בכלל לא ראיתי את זה.,178,"7/7/25, 20:44","7/8/25, 16:43"
Fraud Prevention,"Difficulty dealing with chargebacks and stolen credit cards when 3DS is not enabled, as there's no specific identifying information (different addresses, locations, names).",High,"איך אתם מתמודדים עם הכחשות עסקה/כרטיסי אשראי גנובים ללא 3DS - פתרון כלשהו ? , אין משהו מזהה ספיציפי כל פעם כתובת אחרת/מיקום אחר/שמות אחרים",178,"7/7/25, 20:44","7/8/25, 16:43"
Payments,"Payment processors generally impose hidden/false fees (e.g., cancellation, management, withdrawal, per-transaction fees) and are unresponsive to businesses that don't process very high volumes, leading to frustration.",High,כל הסולקים דוחפים עמלות שקר.... ישראכרט ומקס דוחפים עמלות ביטול.. דמי ניהול ועוד.. גרואו דחפו עמלת משיכה לבנק ושקל לעסקה ואף אחד לא מדבר איתך אם אתה לא מעביר מאות אלפים.. מייאש 😟,178,"7/7/25, 20:44","7/8/25, 16:43"
Accounting,"Difficulty obtaining clear receipts or proper documentation for Bit payment app fees, making it challenging for accounting and tax reporting.",Medium,איך אתם מדפיסים קבלות של ביט? עבור העמלות לביט,178,"7/7/25, 20:44","7/8/25, 16:43"
